trial_id,task,cumulative_examples_seen,test_attempt,test_success,failure_type,in_distribution,attempt_duration
45,tube_to_vortexer,50,9,0,timeout,yes,6.84
46,tube_to_vortexer,50,10,0,missed_target,yes,7.46
47,tube_to_vortexer,50,11,1,,yes,7.41
48,tube_to_vortexer,50,12,0,dropped,yes,5.8
49,tube_to_vortexer,50,13,0,missed_target,yes,4.02
50,tube_to_vortexer,50,14,1,,yes,8.52
51,tube_to_vortexer,50,15,1,,yes,8.68
52,tube_to_vortexer,50,16,0,grip_failure,yes,7.75
53,tube_to_vortexer,50,17,0,grip_failure,yes,8.39
54,tube_to_vortexer,50,18,0,missed_target,yes,7.89
55,tube_to_vortexer,75,1,0,timeout,yes,6.39
56,tube_to_vortexer,75,2,1,,yes,6.51
57,tube_to_vortexer,75,3,0,missed_target,yes,7.34
58,tube_to_vortexer,75,4,1,,yes,7.87
59,tube_to_vortexer,75,5,0,missed_target,yes,7.95
60,tube_to_vortexer,75,6,0,grip_failure,yes,6.25
61,tube_to_vortexer,75,7,0,timeout,yes,6.84
62,tube_to_vortexer,75,8,0,grip_failure,yes,9.16
63,tube_to_vortexer,75,9,0,missed_target,yes,8.88
64,tube_to_vortexer,75,10,1,,yes,11.29
65,tube_to_vortexer,75,11,0,grip_failure,yes,10.9
66,tube_to_vortexer,75,12,0,grip_failure,yes,8.12
67,tube_to_vortexer,75,13,0,timeout,yes,9.33
68,tube_to_vortexer,75,14,0,timeout,yes,8.91
69,tube_to_vortexer,75,15,1,,yes,6.62
70,tube_to_vortexer,75,16,0,dropped,yes,10.32
71,tube_to_vortexer,75,17,0,dropped,yes,7.46
72,tube_to_vortexer,75,18,0,missed_target,yes,8.83
73,tube_to_vortexer,100,1,0,grip_failure,yes,5.59
74,tube_to_vortexer,100,2,1,,yes,8.28
75,tube_to_vortexer,100,3,0,dropped,yes,7.78
76,tube_to_vortexer,100,4,1,,yes,8.27
77,tube_to_vortexer,100,5,0,grip_failure,yes,8.93
78,tube_to_vortexer,100,6,1,,yes,9.83
79,tube_to_vortexer,100,7,1,,yes,8.34
80,tube_to_vortexer,100,8,1,,yes,9.27
81,tube_to_vortexer,100,9,1,,yes,8.26
82,tube_to_vortexer,100,10,0,grip_failure,yes,6.17
83,tube_to_vortexer,100,11,0,grip_failure,yes,6.54
84,tube_to_vortexer,100,12,1,,yes,9.18
85,tube_to_vortexer,100,13,0,grip_failure,yes,9.3
86,tube_to_vortexer,100,14,1,,yes,9.44
87,tube_to_vortexer,100,15,0,timeout,yes,5.95
88,tube_to_vortexer,100,16,1,,yes,6.84
89,tube_to_vortexer,100,17,0,dropped,yes,9.37
90,tube_to_vortexer,100,18,1,,yes,7.96
91,tube_to_vortexer,150,1,1,,yes,10.05
92,tube_to_vortexer,150,2,0,grip_failure,yes,9.76
93,tube_to_vortexer,150,3,0,timeout,yes,10.22
94,tube_to_vortexer,150,4,1,,yes,8.6
95,tube_to_vortexer,150,5,0,missed_target,yes,7.81
96,tube_to_vortexer,150,6,0,timeout,yes,9.11
97,tube_to_vortexer,150,7,0,grip_failure,yes,6.73
98,tube_to_vortexer,150,8,0,grip_failure,yes,5.73
99,tube_to_vortexer,150,9,1,,yes,5.99
100,tube_to_vortexer,150,10,0,timeout,yes,5.57
101,tube_to_vortexer,150,11,1,,yes,8.35
102,tube_to_vortexer,150,12,0,missed_target,yes,6.79
103,tube_to_vortexer,150,13,1,,yes,6.46
104,tube_to_vortexer,150,14,0,dropped,yes,6.23
105,tube_to_vortexer,150,15,0,grip_failure,yes,5.3
106,tube_to_vortexer,150,16,1,,yes,8.7
107,tube_to_vortexer,150,17,1,,yes,6.9
108,tube_to_vortexer,150,18,1,,yes,8.29
109,tube_to_vortexer,200,1,1,,yes,7.17
110,tube_to_vortexer,200,2,0,timeout,yes,7.81
111,tube_to_vortexer,200,3,1,,yes,8.25
112,tube_to_vortexer,200,4,1,,yes,6.72
113,tube_to_vortexer,200,5,1,,yes,5.32
114,tube_to_vortexer,200,6,1,,yes,8.54
115,tube_to_vortexer,200,7,1,,yes,6.66
116,tube_to_vortexer,200,8,1,,yes,7.5
117,tube_to_vortexer,200,9,0,grip_failure,yes,7.93
118,tube_to_vortexer,200,10,0,grip_failure,yes,8.78
119,tube_to_vortexer,200,11,1,,yes,11.22
120,tube_to_vortexer,200,12,1,,yes,8.95
121,tube_to_vortexer,200,13,0,grip_failure,yes,6.04
122,tube_to_vortexer,200,14,0,missed_target,yes,5.01
123,tube_to_vortexer,200,15,1,,yes,6.84
124,tube_to_vortexer,200,16,1,,yes,10.49
125,tube_to_vortexer,200,17,1,,yes,8.48
126,tube_to_vortexer,200,18,1,,yes,5.58
127,tube_to_vortexer,250,1,1,,yes,8.57
128,tube_to_vortexer,250,2,1,,yes,10.48
129,tube_to_vortexer,250,3,1,,yes,6.9
130,tube_to_vortexer,250,4,1,,yes,6.08
131,tube_to_vortexer,250,5,1,,yes,7.64
132,tube_to_vortexer,250,6,1,,yes,10.81
133,tube_to_vortexer,250,7,1,,yes,6.06
134,tube_to_vortexer,250,8,1,,yes,7.84
135,tube_to_vortexer,250,9,1,,yes,10.31
136,tube_to_vortexer,250,10,1,,yes,9.98
137,tube_to_vortexer,250,11,1,,yes,8.09
138,tube_to_vortexer,250,12,0,dropped,yes,11.52
139,tube_to_vortexer,250,13,1,,yes,8.85
140,tube_to_vortexer,250,14,0,grip_failure,yes,8.22
141,tube_to_vortexer,250,15,1,,yes,8.17
142,tube_to_vortexer,250,16,1,,yes,8.99
143,tube_to_vortexer,250,17,1,,yes,11.2
144,tube_to_vortexer,250,18,0,timeout,yes,5.07
